"UID","VALUE","weighted_pixels","hectares","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE"
2235,7050,30991.31930729,2789.2187376561,"Rocky Mountain Lodgepole Pine Forest",7050,2050,"Tr Rocky Mountain Lodgepole Pine Forest","Tree","Conifer",622,"Lodgepole Pine Forest and Woodland","SAF 218: Lodgepole Pine","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",163,240,219,0.639216,0.941176,0.858824
2235,7051,4126.65990776196,371.399391698576,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",7051,2051,"Tr Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Tree","Conifer",625,"Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland","SAF 210: Interior Douglas-Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,51,0,0,0.2,0
2235,7052,478.75998929888,43.0883990368992,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",7052,2052,"Tr Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Tree","Conifer",643,"Douglas-fir-Grand Fir-White Fir Forest and Woodland","SAF 211: White Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,204,0,0,0.8,0
2235,7054,30036.13932864,2703.2525395776,"Southern Rocky Mountain Ponderosa Pine Woodland",7054,2054,"Tr Southern Rocky Mountain Ponderosa Pine Woodland","Tree","Conifer",631,"Ponderosa Pine Forest, Woodland and Savanna","SAF 237: Interior Ponderosa Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",214,255,181,0.839216,1,0.709804
2235,7055,94.9999978765845,8.54999980889261,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",7055,2055,"Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Tree","Conifer",639,"Spruce-Fir Forest and Woodland","SAF 206: Engelmann Spruce-Subalpine Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",236,252,204,0.92549,0.988235,0.8
2235,7057,1369.99996937811,123.29999724403,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",7057,2057,"Tr Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland","Tree","Conifer",621,"Limber Pine Woodland","SAF 209: Bristlecone Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",63,255,46,0.247059,1,0.180392
2235,7061,1.69999996200204,0.152999996580184,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",7061,2061,"Tr Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland","Tree","Conifer-Hardwood",603,"Aspen-Mixed Conifer Forest and Woodland","SAF 217: Aspen","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",192,255,138,0.752941,1,0.541176
2235,7062,500.219988819212,45.0197989937291,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland",7062,2062,"Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland","Tree","Conifer",628,"Mountain Mahogany Woodland and Shrubland","SRM 415: Curlleaf Mountain-Mahogany","Tree-dominated","Open tree canopy","Evergreen open tree canopy",155,235,216,0.607843,0.921569,0.847059
2235,7072,38.7399991340935,3.48659992206842,"Wyoming Basins Dwarf Sagebrush Shrubland and Steppe",7072,2072,"Sh Wyoming Basins Dwarf Sagebrush Shrubland and Steppe","Shrub","Shrubland",623,"Low Sagebrush Shrubland and Steppe","SRM 405: Black Sagebrush","Shrub-dominated","Dwarf-shrubland","Evergreen dwarf-shrubland",204,182,135,0.8,0.713725,0.529412
2235,7086,1337.8599700965,120.407397308685,"Rocky Mountain Lower Montane-Foothill Shrubland",7086,2086,"Sh Rocky Mountain Lower Montane-Foothill Shrubland","Shrub","Shrubland",612,"Deciduous Shrubland","SRM 421: Chokecherry-Serviceberry-Rose","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",117,87,61,0.458824,0.341176,0.239216
