"ID","VALUE","weighted_pixels","hectares","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE"
"101800010502",1144,98.2999978028238,8.84699980225414,"Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",255,255,190,1,1,0.745098
"101800010502",1145,69.9999984353781,6.29999985918403,"Rocky Mountain Alpine/Montane Sparsely Vegetated Systems","Sparse",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",78,78,78,0.305882,0.305882,0.305882
"101800010502",1146,1073.37997600809,96.6041978407279,"Rocky Mountain Aspen Forest and Woodland","Hardwood",145,1732,844,116,79,7,14,"IV-B",255,255,115,1,1,0.45098
"101800010502",1149,34652.4692254569,3118.72223029112,"Rocky Mountain Lodgepole Pine Forest","Conifer",152,-9999,640,123,81,-9999,19,"IV-B",128,251,26,0.501961,0.984314,0.101961
"101800010502",1150,966.78997839056,87.0110980551504,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",325,54,32,19,6,35,59,"I-C",190,210,255,0.745098,0.823529,1
"101800010502",1151,13.9999996870756,1.25999997183681,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Conifer",202,144,153,54,27,38,35,"III-A",115,149,230,0.45098,0.584314,0.901961
"101800010502",1152,29.0399993509054,2.61359994158149,"Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",505,159,24,20,4,13,83,"I-C",168,56,0,0.658824,0.219608,0
"101800010502",1153,20929.0795321986,1883.61715789787,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",199,435,-9999,137,69,31,-9999,"IV-B",211,255,190,0.827451,1,0.745098
"101800010502",1154,823.859981585294,74.1473983426765,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland","Conifer",199,435,-9999,137,69,31,-9999,"IV-B",56,168,0,0.219608,0.658824,0
"101800010502",1155,3.99999991059303,0.359999991953373,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland","Conifer",499,202,-9999,144,29,71,-9999,"III-B",227,223,162,0.890196,0.87451,0.635294
